"Column1","Facility Name","City","State","ZIP Code","HBIPS-5 %","SMD %","SUB-2 %","SUB-3 %","TOB-2 %","TOB-3 %","TR-2 %","FUH-30 %","FUH-7 %","MedCont %","READM-30-IPF Rate","HBIPS-2 %","HBIPS-3 %","code","city","state","county","area_code","lat","lon"
295,UNIVERSITY HOSPITAL AND MEDICAL CENTER,TAMARAC,FL,33321,97.0,96.0,95.0,100.0,90.0,90.0,68.0,61.5,43.1,64.8,21.2,0.09,0.23,33321,Fort Lauderdale,FL,BROWARD,"",26.144589,-80.26052
296,HCA FLORIDA ORANGE PARK HOSPITAL,ORANGE PARK,FL,32073,75.0,99.0,99.0,100.0,99.0,100.0,73.0,58.1,41.9,67.3,19.7,0.09,0.0,32073,Orange Park,FL,CLAY,"",30.119884,-81.791546
297,HCA FLORIDA BRANDON HOSPITAL,BRANDON,FL,33511,75.0,91.0,84.0,64.0,102.0,52.0,86.0,35.0,35.0,68.0,20.0,0.0,2.0,33511,Brandon,FL,HILLSBOROUGH,"",27.903679,-82.294021
298,HCA FLORIDA LAWNWOOD HOSPITAL,FORT PIERCE,FL,34950,100.0,95.0,97.0,100.0,96.0,99.0,65.0,31.0,10.3,69.2,22.0,0.01,0.0,34950,Fort Pierce,FL,SAINT LUCIE,"",27.448066,-80.333224
299,LARGO MEDICAL CENTER,LARGO,FL,33770,96.0,90.0,96.0,100.0,93.0,97.0,60.0,46.6,19.4,62.7,23.2,0.05,0.04,33770,Largo,FL,PINELLAS,"",27.916998,-82.802668
300,DELRAY MEDICAL CENTER,DELRAY BEACH,FL,33484,89.0,94.0,98.0,100.0,70.0,70.0,86.0,63.0,42.6,69.3,19.8,0.03,0.01,33484,Delray Beach,FL,PALM BEACH,"",26.454218,-80.13473
301,KERALTY HOSPITAL,MIAMI,FL,33155,100.0,97.0,100.0,100.0,100.0,100.0,100.0,40.0,23.0,78.0,37.9,0.23,0.0,33155,Miami,FL,MIAMI DADE,"",25.558428,-80.458168
302,ST MARY'S MEDICAL CENTER,WEST PALM BEACH,FL,33407,89.0,64.0,101.0,75.0,64.0,80.0,41.0,46.0,36.0,72.0,18.0,1.0,-1.0,33407,West Palm Beach,FL,PALM BEACH,"",26.645895,-80.430269
303,SOUTH FLORIDA STATE HOSPITAL,PEMBROKE PINES,FL,33025,31.0,100.0,0.0,0.0,51.0,28.0,3.0,36.0,23.0,68.0,22.0,0.0,0.0,33025,Hollywood,FL,BROWARD,"",26.142322,-80.231595
304,RIVER POINT BEHAVIORAL HEALTH,JACKSONVILLE,FL,32216,40.0,70.0,87.0,65.0,89.0,58.0,69.0,46.0,19.0,64.0,21.2,0.07,0.25,32216,Jacksonville,FL,DUVAL,"",30.28434,-81.54074
305,WINDMOOR HEALTHCARE OF CLEARWATER,CLEARWATER,FL,33764,100.0,73.0,86.0,96.0,95.0,96.0,89.0,58.1,41.0,62.1,21.2,0.12,0.0,33764,Clearwater,FL,PINELLAS,"",27.916038,-82.734299
306,LIFESTREAM BEHAVIORAL CENTER,LEESBURG,FL,34748,15.0,20.0,100.0,59.0,43.0,0.0,0.0,41.3,21.3,58.4,24.4,0.99,0.0,34748,Leesburg,FL,LAKE,"",28.758895,-81.888695
307,"CIRCLES OF CARE, INC",MELBOURNE,FL,32901,92.0,6.0,92.0,51.0,56.0,85.0,0.0,44.7,26.2,53.9,23.0,0.26,0.01,32901,Melbourne,FL,BREVARD,"",28.012189,-80.585519
308,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,OAKLAND PARK,FL,33334,90.0,86.0,95.0,98.0,97.0,96.0,96.0,48.4,33.7,58.3,21.8,0.07,0.94,33334,Fort Lauderdale,FL,BROWARD,"",26.184511,-80.134366
309,CENTERSTONE OF FLORIDA,BRADENTON,FL,34208,69.0,74.0,100.0,84.0,93.0,92.0,85.0,48.2,25.0,66.7,22.9,0.36,0.01,34208,Bradenton,FL,MANATEE,"",27.467817,-82.512018
310,SOUTHERN WINDS,HIALEAH,FL,33012,87.0,100.0,100.0,100.0,96.0,87.0,89.0,33.3,21.0,77.3,35.0,0.02,0.0,33012,Hialeah,FL,MIAMI DADE,"",25.859523,-80.22387
311,SPRINGBROOK HOSPITAL,BROOKSVILLE,FL,34609,63.0,95.0,55.0,60.0,70.0,87.0,72.0,48.9,32.3,66.2,25.0,1.0,4.0,34609,Spring Hill,FL,HERNANDO,"",28.494344,-82.450658
312,EASTSIDE PSYCHIATRIC HOSPITAL,TALLAHASSEE,FL,32308,80.0,55.0,65.0,31.0,95.0,13.0,94.0,28.4,11.9,56.9,29.3,0.42,2.16,32308,Tallahassee,FL,LEON,"",30.556205,-84.176838
313,"WILLOUGH AT NAPLES, THE",NAPLES,FL,34113,47.0,46.0,99.0,91.0,98.0,1.0,15.0,40.7,21.0,61.6,19.1,0.0,0.0,34113,Naples,FL,COLLIER,"",26.042638,-81.718172
314,ASPIRE HEALTH PARTNERS,ORLANDO,FL,32808,0.0,11.0,62.0,31.0,5.0,1.0,99.0,33.3,18.2,68.6,28.1,1.79,1.14,32808,Orlando,FL,ORANGE,"",28.580344,-81.439562
315,WEKIVA SPRINGS,JACKSONVILLE,FL,32216,93.0,87.0,93.0,66.0,92.0,81.0,61.0,37.4,19.8,54.6,22.1,0.08,0.07,32216,Jacksonville,FL,DUVAL,"",30.28434,-81.54074
316,PORT ST LUCIE HOSPITAL,PORT SAINT LUCIE,FL,34952,68.0,26.0,96.0,87.0,73.0,33.0,16.0,42.3,26.9,57.7,21.8,0.68,0.0,34952,Port Saint Lucie,FL,SAINT LUCIE,"",27.312492,-80.313322
317,THE VINES HOSPITAL,OCALA,FL,34474,82.0,61.0,87.0,57.0,99.0,35.0,47.0,47.2,31.5,61.1,23.9,0.07,0.31,34474,Ocala,FL,MARION,"",29.150148,-82.137774
318,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,ORLANDO,FL,32821,81.0,70.0,74.0,55.0,93.0,44.0,68.0,42.1,31.6,56.2,27.4,0.04,0.21,32821,Orlando,FL,ORANGE,"",28.385285,-81.472748
319,EMERALD COAST BEHAVIORAL HOSPITAL,PANAMA CITY,FL,32405,75.0,79.0,95.0,78.0,90.0,79.0,74.0,57.1,19.0,81.0,17.7,0.01,0.23,32405,Panama City,FL,BAY,"",30.205121,-85.668892
320,PARK ROYAL HOSPITAL,FORT MYERS,FL,33908,32.0,41.0,100.0,82.0,92.0,41.0,54.0,51.2,29.8,64.4,20.1,0.0,0.01,33908,Fort Myers,FL,LEE,"",26.561955,-81.911422
321,NORTH TAMPA BEHAVIORAL HEALTH,WESLEY CHAPEL,FL,33543,13.0,43.0,84.0,43.0,90.0,42.0,52.0,31.5,13.5,64.4,17.2,0.04,0.36,33543,Zephyrhills,FL,PASCO,"",28.20592,-82.306326
322,UNIVERSITY BEHAVIORAL CENTER,ORLANDO,FL,32826,36.0,74.0,89.0,55.0,81.0,61.0,44.0,39.6,15.1,60.9,21.5,0.22,0.03,32826,Orlando,FL,ORANGE,"",28.510802,-81.34349
323,SUNCOAST BEHAVIORAL HEALTH CENTER,BRADENTON,FL,34210,58.0,81.0,68.0,78.0,75.0,36.0,95.0,46.2,28.8,66.8,26.7,0.26,0.07,34210,Bradenton,FL,MANATEE,"",27.473598,-82.660725
324,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SRVS,HOLLYWOOD,FL,33021,40.0,100.0,99.0,99.0,89.0,96.0,98.0,52.4,23.8,63.3,24.9,0.03,0.0,33021,Hollywood,FL,BROWARD,"",26.023267,-80.211942
325,CORAL SHORES BEHAVIORAL HEALTH,STUART,FL,34997,83.0,77.0,97.0,70.0,92.0,61.0,79.0,36.1,19.4,71.0,21.1,0.04,0.24,34997,Stuart,FL,MARTIN,"",27.108081,-80.230818
326,BLACKBERRY CENTER - OGLETHORPE OF ORLANDO,SAINT CLOUD,FL,34769,0.0,80.0,100.0,30.0,96.0,90.0,0.0,29.3,10.1,63.2,22.7,0.0,0.0,34769,Saint Cloud,FL,OSCEOLA,"",28.230351,-81.359092
327,PALM POINT BEHAVIORAL HEALTH,TITUSVILLE,FL,32796,50.0,77.0,91.0,79.0,86.0,87.0,67.0,25.0,21.4,79.0,24.3,0.17,0.44,32796,Titusville,FL,BREVARD,"",28.509529,-80.831574
328,UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,30286,27.0,92.0,80.0,68.0,54.0,64.0,61.0,20.0,13.3,68.0,26.2,7.81,0.0,30286,Thomaston,GA,UPSON,"",32.884509,-84.336486
329,MAYO CLINIC HEALTH SYSTEM IN WAYCROSS,WAYCROSS,GA,31501,89.0,97.0,100.0,100.0,100.0,98.0,74.0,43.0,39.0,76.0,19.4,0.0,0.0,31501,Waycross,GA,WARE,"",31.224262,-82.359628
330,PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,31703,38.0,97.0,100.0,78.0,97.0,95.0,84.0,17.6,0.0,75.0,19.6,0.04,0.0,31703,Albany,GA,DOUGHERTY,"",31.543065,-84.219594
331,EMORY UNIVERSITY HOSPITAL,ATLANTA,GA,30322,59.0,97.0,40.0,91.0,94.0,82.0,87.0,66.7,44.9,69.5,20.4,0.05,0.62,30322,Atlanta,GA,DEKALB,"",33.795204,-84.324824
332,TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,30180,65.0,92.0,90.0,99.0,93.0,84.0,92.0,38.6,22.7,63.2,25.2,0.07,0.11,30180,Villa Rica,GA,CARROLL,"",33.705546,-84.975668
333,"NORTHEAST GEORGIA MEDICAL CENTER, INC",GAINESVILLE,GA,30501,45.0,96.0,76.0,98.0,80.0,83.0,20.0,44.6,24.6,69.9,24.0,0.16,0.06,30501,Gainesville,GA,HALL,"",34.334398,-83.837912
334,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,31792,56.0,61.0,100.0,98.0,75.0,70.0,94.0,0.0,0.0,79.0,26.3,0.03,0.1,31792,Thomasville,GA,THOMAS,"",30.825551,-83.950795
335,FLOYD MEDICAL CENTER,ROME,GA,30162,59.0,78.0,97.0,99.0,88.0,83.0,85.0,46.9,35.9,75.4,20.1,0.43,0.35,30162,Rome,GA,FLOYD,"",34.290508,-85.213817
336,APPLING HOSPITAL,BAXLEY,GA,31513,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.0,40.0,78.0,19.4,0.0,3.12,31513,Baxley,GA,APPLING,"",31.756861,-82.350837
337,DORMINY MEDICAL CENTER,FITZGERALD,GA,31750,0.0,100.0,74.0,83.0,70.0,63.0,100.0,60.0,28.0,74.0,20.8,0.0,0.0,31750,Fitzgerald,GA,BEN HILL,"",31.748753,-83.235412
338,GRADY MEMORIAL HOSPITAL,ATLANTA,GA,30303,58.0,88.0,97.0,16.0,65.0,16.0,0.0,23.8,14.3,66.7,23.1,0.1,0.34,30303,Atlanta,GA,FULTON,"",33.752456,-84.392026
339,DODGE COUNTY HOSPITAL,EASTMAN,GA,31023,69.0,98.0,100.0,100.0,100.0,100.0,100.0,64.0,25.0,81.0,20.6,0.0,0.27,31023,Eastman,GA,DODGE,"",32.143564,-83.194358
340,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,ADEL,GA,31620,26.0,94.0,90.0,46.0,85.0,75.0,59.0,48.0,18.0,70.0,23.1,0.0,0.0,31620,Adel,GA,COOK,"",31.151742,-83.407143
341,ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,MACON,GA,31201,42.0,99.0,63.0,74.0,95.0,79.0,81.0,26.7,13.3,71.0,16.2,19.71,17.79,31201,Macon,GA,BIBB,"",32.827949,-83.595066
342,EMANUEL MEDICAL CENTER,SWAINSBORO,GA,30401,35.0,75.0,6.0,2.0,22.0,2.0,10.0,57.1,28.6,74.0,21.2,0.0,1.33,30401,Swainsboro,GA,EMANUEL,"",32.569871,-82.346181
343,WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,30312,54.0,48.0,40.0,57.0,63.0,42.0,0.0,19.6,5.9,49.4,21.2,0.26,0.65,30312,Atlanta,GA,FULTON,"",33.829743,-84.381529
344,ST FRANCIS HOSPITAL- EMORY HEALTHCARE,COLUMBUS,GA,31995,24.0,97.0,100.0,95.0,78.0,61.0,70.0,48.1,24.1,68.5,19.5,0.85,0.04,31995,Fort Benning,GA,MUSCOGEE,"",32.495841,-84.963981
345,EVANS MEMORIAL HOSPITAL,CLAXTON,GA,30417,41.0,61.0,89.0,55.0,80.0,72.0,80.0,55.0,18.0,66.0,19.0,-3.0,3.0,30417,Claxton,GA,EVANS,"",32.160611,-81.923832
346,"COLISEUM MEDICAL CENTERS, LLC, DBA",MACON,GA,31217,100.0,99.0,100.0,88.0,99.0,86.0,78.0,58.3,33.3,60.6,19.3,0.0,0.02,31217,Macon,GA,BIBB,"",32.811767,-83.565009
347,SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,30274,49.0,100.0,71.0,96.0,79.0,89.0,100.0,42.1,26.3,75.0,25.0,0.0,0.0,30274,Riverdale,GA,CLAYTON,"",33.555536,-84.397997
348,FLINT RIVER COMMUNITY HOSPITAL,MONTEZUMA,GA,31063,0.0,100.0,0.0,31.0,0.0,2.0,0.0,12.5,5.0,70.9,20.5,0.0,0.0,31063,Montezuma,GA,MACON,"",32.240448,-83.863997
349,EASTSIDE MEDICAL CENTER,SNELLVILLE,GA,30078,100.0,100.0,100.0,100.0,100.0,100.0,85.0,44.0,44.0,74.8,23.1,0.04,0.09,30078,Snellville,GA,GWINNETT,"",33.863454,-84.008066
350,DONALSONVILLE HOSPITAL INC,DONALSONVILLE,GA,39845,82.0,100.0,100.0,97.0,94.0,98.0,97.0,8.3,8.3,69.0,22.4,0.36,0.3,39845,Dville,GA,SEMINOLE,"",30.96,-84.88
351,TURNING POINT HOSPITAL,MOULTRIE,GA,31788,100.0,75.0,96.0,100.0,100.0,98.0,81.0,48.4,28.5,72.0,18.1,0.03,0.03,31788,Moultrie,GA,COLQUITT,"",31.12,-83.7
352,SGMC BERRIEN CAMPUS,NASHVILLE,GA,31639,71.0,96.0,96.0,100.0,90.0,53.0,91.0,50.0,25.0,74.0,17.8,0.0,0.0,31639,Nashville,GA,BERRIEN,"",31.199826,-83.218233
353,JENKINS COUNTY MEDICAL CENTER,MILLEN,GA,30442,0.0,75.0,70.0,0.0,95.0,24.0,3.0,64.0,21.0,81.0,18.0,0.0,0.0,30442,Millen,GA,JENKINS,"",32.779376,-81.973904
354,LIFEBRITE COMMUNITY HOSPITAL OF EARLY,BLAKELY,GA,39823,34.0,71.0,50.0,59.0,51.0,84.0,68.0,62.0,20.0,73.0,21.0,-3.0,-2.0,39823,Blakely,GA,EARLY,"",31.37,-84.94
355,CHATUGE REGIONAL HOSPITAL,HIAWASSEE,GA,30546,49.0,100.0,37.0,100.0,101.0,75.0,100.0,64.7,35.3,65.0,19.8,0.0,0.0,30546,Hiawassee,GA,TOWNS,"",34.906339,-83.72739
356,JEFF DAVIS HOSPITAL,HAZLEHURST,GA,31539,18.0,89.0,73.0,74.0,79.0,46.0,47.0,49.0,20.0,69.0,22.9,0.0,0.0,31539,Hazlehurst,GA,JEFF DAVIS,"",31.806871,-82.626991
357,SUMMITRIDGE CENTER- PSYCHIATRY & ADDICTIVE MED,LAWRENCEVILLE,GA,30046,100.0,99.0,99.0,94.0,100.0,73.0,87.0,36.5,19.5,68.9,20.9,0.09,0.05,30046,Lawrenceville,GA,GWINNETT,"",33.960353,-84.037859
358,COASTAL HARBOR TREATMENT CENTER,SAVANNAH,GA,31406,53.0,83.0,61.0,59.0,100.0,33.0,48.0,35.5,17.7,70.2,18.4,0.1,0.55,31406,Savannah,GA,CHATHAM,"",31.975611,-81.086617
359,PEACHFORD BEHAVIORAL HEALTH SYSTEM OF ATLANTA,ATLANTA,GA,30338,60.0,88.0,69.0,62.0,78.0,56.0,64.0,46.5,30.5,71.9,17.3,0.08,0.37,30338,Atlanta,GA,FULTON,"",33.96685,-84.324916
360,RIDGEVIEW INSTITUTE,SMYRNA,GA,30080,97.0,100.0,100.0,100.0,100.0,98.0,89.0,42.9,21.1,74.1,24.1,0.0,0.0,30080,Smyrna,GA,COBB,"",33.864604,-84.556181
361,WEST CENTRAL GEORGIA REGIONAL HOSPITAL,COLUMBUS,GA,31917,79.0,0.0,82.0,48.0,46.0,47.0,15.0,47.0,39.0,71.0,20.0,1.17,0.96,31917,Columbus,GA,MUSCOGEE,"",32.491005,-84.874123
362,ST SIMONS-BY-THE-SEA,SAINT SIMONS ISLAND,GA,31522,71.0,71.0,90.0,65.0,80.0,75.0,85.0,36.1,12.5,69.8,20.6,0.09,0.01,31522,Saint Simons Island,GA,GLYNN,"",31.213223,-81.449141
363,GEORGIA REGIONAL HOSPITAL ATLANTA,DECATUR,GA,30034,32.0,0.0,79.0,25.0,67.0,37.0,17.0,41.0,25.0,73.0,19.5,5.38,0.24,30034,Decatur,GA,DEKALB,"",33.690757,-84.251171
364,GEORGIA REGIONAL HOSP SAVANNAH,SAVANNAH,GA,31416,78.0,0.0,84.0,25.0,69.0,39.0,9.0,25.0,8.3,79.0,17.7,0.03,0.1,31416,Savannah,GA,CHATHAM,"",32.005255,-81.047711
365,EAST CENTRAL REGIONAL HOSPITAL,AUGUSTA,GA,30906,66.0,0.0,50.0,54.0,72.0,53.0,2.0,47.0,22.0,71.0,19.3,0.69,0.17,30906,Augusta,GA,RICHMOND,"",33.358865,-82.009938
366,SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,COLLEGE PARK,GA,30349,73.0,98.0,99.0,62.0,91.0,76.0,50.0,42.1,28.9,68.2,23.2,0.04,0.52,30349,Atlanta,GA,FULTON,"",33.61806,-84.550147
367,RIVERWOODS BEHAVIORAL HEALTH SYSTEM,RIVERDALE,GA,30274,53.0,52.0,86.0,43.0,88.0,72.0,41.0,36.3,21.1,71.3,23.2,0.17,0.06,30274,Riverdale,GA,CLAYTON,"",33.555536,-84.397997
368,GREENLEAF CENTER,VALDOSTA,GA,31602,39.0,9.0,78.0,12.0,63.0,67.0,27.0,35.6,25.0,71.0,20.5,0.02,0.08,31602,Valdosta,GA,LOWNDES,"",30.893109,-83.327812
369,RIDGEVIEW INSTITUTE MONROE,MONROE,GA,30655,93.0,99.0,100.0,76.0,95.0,65.0,93.0,32.8,9.8,71.0,20.8,0.03,0.02,30655,Monroe,GA,WALTON,"",33.788322,-83.701264
370,WAHIAWA GENERAL HOSPITAL,WAHIAWA,HI,96786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,37.0,79.0,22.0,0.0,0.0,96786,Wahiawa,HI,HONOLULU,"",21.5324,-158.047735
371,KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,96750,0.0,0.0,62.0,87.0,81.0,17.0,64.0,60.0,24.0,81.0,19.8,0.0,0.0,96750,Kealakekua,HI,HAWAII,"",19.343913,-155.874923
372,SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA,HI,96746,73.0,1.0,27.0,62.0,50.0,32.0,0.0,50.0,32.0,69.0,19.0,0.0,0.18,96746,Kapaa,HI,KAUAI,"",22.074197,-159.406197
373,KAHI MOHALA,EWA BEACH,HI,96706,42.0,100.0,80.0,52.0,53.0,73.0,47.0,39.0,39.0,73.0,20.0,0.28,0.11,96706,Ewa Beach,HI,HONOLULU,"",21.34455,-158.01395
374,ST LUKES MAGIC VALLEY MEDICAL CENTER,TWIN FALLS,ID,83301,57.0,92.0,83.0,97.0,95.0,94.0,75.0,58.1,48.4,78.0,16.9,0.04,0.04,83301,Twin Falls,ID,TWIN FALLS,"",42.443224,-114.629497
375,ST JOSEPH REGIONAL MEDICAL CENTER,LEWISTON,ID,83501,29.0,98.0,97.0,60.0,77.0,64.0,97.0,41.2,11.8,78.0,15.4,4.88,44.57,83501,Lewiston,ID,NEZ PERCE,"",46.3646,-116.860852
376,EASTERN IDAHO REGIONAL MEDICAL CENTER,IDAHO FALLS,ID,83404,91.0,98.0,100.0,88.0,99.0,93.0,71.0,68.2,27.3,76.0,20.5,0.13,0.08,83404,Idaho Falls,ID,BONNEVILLE,"",43.433036,-111.660433
377,PORTNEUF MEDICAL CENTER,POCATELLO,ID,83201,57.0,83.0,94.0,88.0,74.0,73.0,87.0,39.3,28.6,80.9,15.9,0.66,3.22,83201,Pocatello,ID,BANNOCK,"",42.770177,-112.259807
378,BINGHAM MEMORIAL HOSPITAL,BLACKFOOT,ID,83221,81.0,60.0,88.0,67.0,43.0,24.0,49.0,46.7,26.7,81.0,17.4,0.03,0.14,83221,Blackfoot,ID,BINGHAM,"",43.251328,-112.464518
379,INTERMOUNTAIN HOSPITAL,BOISE,ID,83704,100.0,29.0,72.0,52.0,79.0,70.0,59.0,48.3,35.0,71.6,16.4,0.07,0.23,83704,Boise,ID,ADA,"",43.641467,-116.290009
380,LIFEWAYS HOSPITAL,BOISE,ID,83704,28.0,85.0,90.0,84.0,101.0,59.0,65.0,34.0,37.0,72.0,19.3,-5.0,0.0,83704,Boise,ID,ADA,"",43.641467,-116.290009
381,STATE HOSPITAL SOUTH,BLACKFOOT,ID,83221,85.0,96.0,98.0,96.0,99.0,72.0,93.0,25.0,20.0,65.0,13.5,0.25,0.94,83221,Blackfoot,ID,BINGHAM,"",43.251328,-112.464518
382,COTTONWOOD CREEK BEHAVIORAL HOSPITAL,MERIDIAN,ID,83642,50.0,49.0,68.0,35.0,53.0,37.0,89.0,41.5,26.4,76.0,20.0,0.02,0.37,83642,Meridian,ID,ADA,"",43.579067,-116.421656
383,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,MELROSE PARK,IL,60160,29.0,100.0,0.0,0.0,0.0,0.0,99.0,55.6,16.7,79.0,20.9,0.0,0.0,60160,Melrose Park,IL,COOK,"",41.91488,-87.858707
384,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,EVANSTON,IL,60201,32.0,81.0,62.0,27.0,34.0,0.0,1.0,77.8,51.1,79.7,21.1,0.05,0.0,60201,Evanston,IL,COOK,"",42.049148,-87.702155
385,KATHERINE SHAW BETHEA HOSPITAL,DIXON,IL,61021,15.0,80.0,83.0,26.0,57.0,50.0,12.0,50.0,25.0,73.0,20.5,0.61,0.0,61021,Dixon,IL,LEE,"",41.809229,-89.417156
386,PROCTOR HOSPITAL,PEORIA,IL,61614,58.0,94.0,76.0,62.0,86.0,90.0,97.0,100.0,53.8,69.0,19.0,0.1,0.39,61614,Peoria,IL,PEORIA,"",40.768117,-89.602647
387,MT SINAI HOSPITAL MEDICAL CENTER,CHICAGO,IL,60608,91.0,82.0,89.0,97.0,94.0,97.0,78.0,29.2,8.3,71.1,25.2,3.55,0.0,60608,Chicago,IL,COOK,"",41.811929,-87.68732
388,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,CENTRALIA,IL,62801,71.0,96.0,100.0,90.0,90.0,98.0,81.0,56.0,28.0,78.9,18.5,0.0,0.0,62801,Centralia,IL,MARION,"",38.63831,-88.957758
389,GALESBURG COTTAGE HOSPITAL,GALESBURG,IL,61401,96.0,100.0,84.0,62.0,84.0,27.0,96.0,64.0,16.0,68.0,14.2,0.0,0.0,61401,Galesburg,IL,KNOX,"",40.964613,-90.213654
390,MACNEAL  HOSPITAL,BERWYN,IL,60402,24.0,96.0,100.0,100.0,87.0,98.0,80.0,38.3,15.0,74.0,25.3,0.87,0.19,60402,Berwyn,IL,COOK,"",41.811929,-87.68732
391,PALOS COMMUNITY HOSPITAL,PALOS HEIGHTS,IL,60463,73.0,85.0,100.0,98.0,93.0,95.0,73.0,73.1,28.8,80.2,21.4,0.17,0.0,60463,Palos Heights,IL,COOK,"",41.811929,-87.68732
392,LOUIS A WEISS MEMORIAL HOSPITAL,CHICAGO,IL,60640,26.0,38.0,25.0,63.0,26.0,61.0,60.0,27.3,18.2,68.0,24.0,0.0,0.0,60640,Chicago,IL,COOK,"",41.811929,-87.68732
393,SAINT ANTHONY HOSPITAL,CHICAGO,IL,60623,61.0,89.0,95.0,84.0,46.0,60.0,33.0,25.0,6.3,67.0,25.1,-5.0,-3.0,60623,Chicago,IL,COOK,"",41.811929,-87.68732
394,ST BERNARD HOSPITAL,CHICAGO,IL,60621,0.0,96.0,100.0,100.0,100.0,100.0,93.0,14.3,10.2,59.6,28.6,9.94,0.0,60621,Chicago,IL,COOK,"",41.811929,-87.68732
395,OSF SAINT ELIZABETH MDL CTR,OTTAWA,IL,61350,73.0,68.0,69.0,50.0,93.0,76.0,79.0,49.0,35.0,77.0,21.0,2.0,0.0,61350,Ottawa,IL,LA SALLE,"",41.248925,-88.833337
396,SWEDISH HOSPITAL,CHICAGO,IL,60625,82.0,98.0,100.0,95.0,96.0,93.0,96.0,47.1,20.6,65.0,26.1,1.19,0.0,60625,Chicago,IL,COOK,"",41.811929,-87.68732
397,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,60612,28.0,72.0,64.0,49.0,5.0,1.0,24.0,72.0,44.0,81.4,22.9,7.34,0.0,60612,Chicago,IL,COOK,"",41.811929,-87.68732
398,ADVENTIST HINSDALE HOSPITAL,HINSDALE,IL,60521,32.0,94.0,92.0,94.0,81.0,0.0,83.0,52.4,38.1,79.0,20.9,0.11,0.0,60521,Hinsdale,IL,DU PAGE,"",41.78213,-87.966845
399,GATEWAY REGIONAL MEDICAL CENTER,GRANITE CITY,IL,62040,57.0,94.0,99.0,80.0,80.0,58.0,55.0,50.0,13.6,67.0,25.8,0.02,1.12,62040,Granite City,IL,MADISON,"",38.802398,-90.1289
400,DECATUR MEMORIAL HOSPITAL,DECATUR,IL,62526,78.0,100.0,45.0,48.0,61.0,50.0,95.0,69.2,30.8,72.0,18.0,0.02,0.0,62526,Decatur,IL,MACON,"",39.858284,-88.938244
401,MEMORIAL MEDICAL CENTER,SPRINGFIELD,IL,62702,69.0,56.0,95.0,77.0,91.0,23.0,80.0,68.6,43.0,73.6,14.4,1.61,1.55,62702,Springfield,IL,SANGAMON,"",39.831699,-89.646507
402,UNIVERSITY OF ILLINOIS HOSPITAL,CHICAGO,IL,60612,74.0,93.0,92.0,70.0,83.0,63.0,24.0,52.6,26.3,64.0,19.5,1.0,0.95,60612,Chicago,IL,COOK,"",41.811929,-87.68732
403,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO,CHICAGO,IL,60616,25.0,12.0,14.0,79.0,17.0,1.0,0.0,28.0,16.0,62.2,27.4,0.7,0.0,60616,Chicago,IL,COOK,"",41.811929,-87.68732
404,ST MARYS HOSPITAL,DECATUR,IL,62521,13.0,43.0,84.0,76.0,100.0,47.0,41.0,33.3,8.3,72.0,20.4,0.0,0.0,62521,Decatur,IL,MACON,"",39.839477,-88.946486
405,PRESENCE MERCY MEDICAL CENTER,AURORA,IL,60506,66.0,73.0,48.0,72.0,47.0,48.0,68.0,42.2,13.3,72.6,23.6,0.36,0.0,60506,Aurora,IL,KANE,"",41.79083,-88.416837
406,JACKSON PARK HOSPITAL,CHICAGO,IL,60649,12.0,99.0,0.0,0.0,0.0,0.0,6.0,47.0,24.0,70.0,17.0,1.45,1.05,60649,Chicago,IL,COOK,"",41.811929,-87.68732
407,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,CHICAGO,IL,60622,38.0,84.0,93.0,66.0,97.0,96.0,51.0,20.0,6.7,77.0,19.6,1.12,0.0,60622,Chicago,IL,COOK,"",41.811929,-87.68732
408,SOUTH SHORE HOSPITAL,CHICAGO,IL,60617,4.0,100.0,95.0,47.0,100.0,100.0,98.0,42.0,28.0,75.0,26.0,0.0,0.0,60617,Chicago,IL,COOK,"",41.811929,-87.68732
